2025-08-03 15:07:28.840 [main] INFO  c.a.e.EventManagementBackendJavaSpringApplication - Starting EventManagementBackendJavaSpringApplication using Java 21.0.4 with PID 4132 (D:\SpringBoot3\event_management_backend_java_spring\target\classes started by chayb in D:\SpringBoot3\event_management_backend_java_spring)
2025-08-03 15:07:31.246 [cluster-ClusterId{value='688f18c2d0d9dc5d87e405dc', description='null'}-ac-eyxdlxu-shard-00-01.wwjwkb1.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-eyxdlxu-shard-00-01.wwjwkb1.mongodb.net:27017, type=REPLICA_SET_PRIMARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=350451900, minRoundTripTimeNanos=0, setName='atlas-9e3adx-shard-0', canonicalAddress=ac-eyxdlxu-shard-00-01.wwjwkb1.mongodb.net:27017, hosts=[ac-eyxdlxu-shard-00-00.wwjwkb1.mongodb.net:27017, ac-eyxdlxu-shard-00-02.wwjwkb1.mongodb.net:27017, ac-eyxdlxu-shard-00-01.wwjwkb1.mongodb.net:27017], passives=[], arbiters=[], primary='ac-eyxdlxu-shard-00-01.wwjwkb1.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='ape1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_EAST_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff000000000000003b, setVersion=25, topologyVersion=TopologyVersion{processId=688a26278238a49b6c408e28, counter=6}, lastWriteDate=Sun Aug 03 15:07:31 ICT 2025, lastUpdateTimeNanos=228229393744200}
2025-08-03 15:07:31.249 [cluster-ClusterId{value='688f18c2d0d9dc5d87e405dc', description='null'}-ac-eyxdlxu-shard-00-01.wwjwkb1.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary ac-eyxdlxu-shard-00-01.wwjwkb1.mongodb.net:27017 with max election id 7fffffff000000000000003b and max set version 25
2025-08-03 15:07:31.446 [main] WARN  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with an AuthenticationProvider bean. UserDetailsService beans will not be used by Spring Security for automatically configuring username/password login. Consider removing the AuthenticationProvider bean. Alternatively, consider using the UserDetailsService in a manually instantiated DaoAuthenticationProvider. If the current configuration is intentional, to turn off this warning, increase the logging level of 'org.springframework.security.config.annotation.authentication.configuration.InitializeUserDetailsBeanManagerConfigurer' to ERROR
2025-08-03 15:07:32.441 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-08-03 15:07:32.459 [main] INFO  c.a.e.EventManagementBackendJavaSpringApplication - Started EventManagementBackendJavaSpringApplication in 4.153 seconds (process running for 4.873)
2025-08-03 15:07:32.939 [main] INFO  c.a.e.config.ApplicationInitConfig - CNTT department ready with ID: 6888fcb6953718eda0429191
2025-08-03 15:07:32.997 [main] INFO  c.a.e.config.ApplicationInitConfig - Default admin user already exists
2025-08-03 15:07:33.130 [main] INFO  c.a.e.config.ApplicationInitConfig - Demo student user already exists
2025-08-03 15:42:12.400 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-08-03 15:42:50.235 [http-nio-8080-exec-8] WARN  o.a.c.util.SessionIdGeneratorBase - Creation of SecureRandom instance for session ID generation using [SHA1PRNG] took [101] milliseconds.
2025-08-03 16:08:56.310 [main] INFO  c.a.e.EventManagementBackendJavaSpringApplicationTests - Starting EventManagementBackendJavaSpringApplicationTests using Java 17.0.12 with PID 21032 (started by chayb in D:\SpringBoot3\event_management_backend_java_spring)
2025-08-03 16:08:56.318 [main] INFO  c.a.e.EventManagementBackendJavaSpringApplicationTests - No active profile set, falling back to 1 default profile: "default"
2025-08-03 16:09:00.537 [cluster-ClusterId{value='688f272c9bd9a694cf66b2bb', description='null'}-srv-eventcheckinsystem.wwjwkb1.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-eyxdlxu-shard-00-00.wwjwkb1.mongodb.net:27017 to client view of cluster
2025-08-03 16:09:00.583 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "5.5.1"}, "os": {"type": "Windows", "name": "Windows 11", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Oracle Corporation/17.0.12+8-LTS-286"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=null, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='chaybon894', source='admin', password=<hidden>, mechanismProperties=<hidden>}, transportSettings=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@6060146b, com.mongodb.Jep395RecordCodecProvider@33627576, com.mongodb.KotlinCodecProvider@27bc1d44]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=eventcheckinsystem.wwjwkb1.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-9e3adx-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='15 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverMonitoringMode=AUTO, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='null', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, dnsClient=null, inetAddressResolver=null, contextProvider=null, timeoutMS=null}
2025-08-03 16:09:00.599 [cluster-ClusterId{value='688f272c9bd9a694cf66b2bb', description='null'}-srv-eventcheckinsystem.wwjwkb1.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-eyxdlxu-shard-00-01.wwjwkb1.mongodb.net:27017 to client view of cluster
2025-08-03 16:09:00.607 [cluster-ClusterId{value='688f272c9bd9a694cf66b2bb', description='null'}-srv-eventcheckinsystem.wwjwkb1.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-eyxdlxu-shard-00-02.wwjwkb1.mongodb.net:27017 to client view of cluster
2025-08-03 16:09:01.647 [cluster-ClusterId{value='688f272c9bd9a694cf66b2bb', description='null'}-ac-eyxdlxu-shard-00-01.wwjwkb1.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-eyxdlxu-shard-00-01.wwjwkb1.mongodb.net:27017, type=REPLICA_SET_PRIMARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=503017900, minRoundTripTimeNanos=0, setName='atlas-9e3adx-shard-0', canonicalAddress=ac-eyxdlxu-shard-00-01.wwjwkb1.mongodb.net:27017, hosts=[ac-eyxdlxu-shard-00-00.wwjwkb1.mongodb.net:27017, ac-eyxdlxu-shard-00-02.wwjwkb1.mongodb.net:27017, ac-eyxdlxu-shard-00-01.wwjwkb1.mongodb.net:27017], passives=[], arbiters=[], primary='ac-eyxdlxu-shard-00-01.wwjwkb1.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='ape1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_EAST_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff000000000000003b, setVersion=25, topologyVersion=TopologyVersion{processId=688a26278238a49b6c408e28, counter=6}, lastWriteDate=Sun Aug 03 16:09:01 ICT 2025, lastUpdateTimeNanos=231919788657500}
2025-08-03 16:09:01.647 [cluster-ClusterId{value='688f272c9bd9a694cf66b2bb', description='null'}-ac-eyxdlxu-shard-00-00.wwjwkb1.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-eyxdlxu-shard-00-00.wwjwkb1.mongodb.net:27017, type=REPLICA_SET_SECONDARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=503050000, minRoundTripTimeNanos=0, setName='atlas-9e3adx-shard-0', canonicalAddress=ac-eyxdlxu-shard-00-00.wwjwkb1.mongodb.net:27017, hosts=[ac-eyxdlxu-shard-00-00.wwjwkb1.mongodb.net:27017, ac-eyxdlxu-shard-00-02.wwjwkb1.mongodb.net:27017, ac-eyxdlxu-shard-00-01.wwjwkb1.mongodb.net:27017], passives=[], arbiters=[], primary='ac-eyxdlxu-shard-00-01.wwjwkb1.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='ape1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_EAST_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=25, topologyVersion=TopologyVersion{processId=688a25fa10cc052f6f69f45c, counter=4}, lastWriteDate=Sun Aug 03 16:09:01 ICT 2025, lastUpdateTimeNanos=231919788689100}
2025-08-03 16:09:01.647 [cluster-ClusterId{value='688f272c9bd9a694cf66b2bb', description='null'}-ac-eyxdlxu-shard-00-02.wwjwkb1.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-eyxdlxu-shard-00-02.wwjwkb1.mongodb.net:27017, type=REPLICA_SET_SECONDARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=503015500, minRoundTripTimeNanos=0, setName='atlas-9e3adx-shard-0', canonicalAddress=ac-eyxdlxu-shard-00-02.wwjwkb1.mongodb.net:27017, hosts=[ac-eyxdlxu-shard-00-00.wwjwkb1.mongodb.net:27017, ac-eyxdlxu-shard-00-02.wwjwkb1.mongodb.net:27017, ac-eyxdlxu-shard-00-01.wwjwkb1.mongodb.net:27017], passives=[], arbiters=[], primary='ac-eyxdlxu-shard-00-01.wwjwkb1.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='ape1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_EAST_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=25, topologyVersion=TopologyVersion{processId=688a2655208c90e9b0e1eded, counter=3}, lastWriteDate=Sun Aug 03 16:09:01 ICT 2025, lastUpdateTimeNanos=231919788657400}
2025-08-03 16:09:01.659 [cluster-ClusterId{value='688f272c9bd9a694cf66b2bb', description='null'}-ac-eyxdlxu-shard-00-01.wwjwkb1.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary ac-eyxdlxu-shard-00-01.wwjwkb1.mongodb.net:27017 with max election id 7fffffff000000000000003b and max set version 25
2025-08-03 16:09:04.074 [main] WARN  o.s.b.a.s.s.UserDetailsServiceAutoConfiguration - 

Using generated security password: 12e1fd25-ff55-4cd1-aef6-a510dcd9fd40

This generated password is for development use only. Your security configuration must be updated before running your application in production.

2025-08-03 16:09:04.782 [main] INFO  c.a.e.EventManagementBackendJavaSpringApplicationTests - Started EventManagementBackendJavaSpringApplicationTests in 9.323 seconds (process running for 11.139)
2025-08-03 16:09:05.341 [main] INFO  c.a.e.config.ApplicationInitConfig - CNTT department ready with ID: 6888fcb6953718eda0429191
2025-08-03 16:09:05.403 [main] INFO  c.a.e.config.ApplicationInitConfig - Default admin user already exists
2025-08-03 16:09:05.505 [main] INFO  c.a.e.config.ApplicationInitConfig - Demo student user already exists
2025-08-03 16:09:48.636 [main] INFO  c.a.e.EventManagementBackendJavaSpringApplicationTests - Starting EventManagementBackendJavaSpringApplicationTests using Java 17.0.12 with PID 3648 (started by chayb in D:\SpringBoot3\event_management_backend_java_spring)
2025-08-03 16:09:48.643 [main] INFO  c.a.e.EventManagementBackendJavaSpringApplicationTests - No active profile set, falling back to 1 default profile: "default"
2025-08-03 16:09:50.802 [cluster-ClusterId{value='688f275e1a9d7953e69bb237', description='null'}-srv-eventcheckinsystem.wwjwkb1.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-eyxdlxu-shard-00-00.wwjwkb1.mongodb.net:27017 to client view of cluster
2025-08-03 16:09:50.850 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "5.5.1"}, "os": {"type": "Windows", "name": "Windows 11", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Oracle Corporation/17.0.12+8-LTS-286"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=null, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='chaybon894', source='admin', password=<hidden>, mechanismProperties=<hidden>}, transportSettings=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@6060146b, com.mongodb.Jep395RecordCodecProvider@33627576, com.mongodb.KotlinCodecProvider@27bc1d44]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=eventcheckinsystem.wwjwkb1.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-9e3adx-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='15 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverMonitoringMode=AUTO, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='null', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, dnsClient=null, inetAddressResolver=null, contextProvider=null, timeoutMS=null}
2025-08-03 16:09:50.858 [cluster-ClusterId{value='688f275e1a9d7953e69bb237', description='null'}-srv-eventcheckinsystem.wwjwkb1.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-eyxdlxu-shard-00-01.wwjwkb1.mongodb.net:27017 to client view of cluster
2025-08-03 16:09:50.862 [cluster-ClusterId{value='688f275e1a9d7953e69bb237', description='null'}-srv-eventcheckinsystem.wwjwkb1.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-eyxdlxu-shard-00-02.wwjwkb1.mongodb.net:27017 to client view of cluster
2025-08-03 16:09:51.696 [cluster-ClusterId{value='688f275e1a9d7953e69bb237', description='null'}-ac-eyxdlxu-shard-00-02.wwjwkb1.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-eyxdlxu-shard-00-02.wwjwkb1.mongodb.net:27017, type=REPLICA_SET_SECONDARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=414060400, minRoundTripTimeNanos=0, setName='atlas-9e3adx-shard-0', canonicalAddress=ac-eyxdlxu-shard-00-02.wwjwkb1.mongodb.net:27017, hosts=[ac-eyxdlxu-shard-00-00.wwjwkb1.mongodb.net:27017, ac-eyxdlxu-shard-00-02.wwjwkb1.mongodb.net:27017, ac-eyxdlxu-shard-00-01.wwjwkb1.mongodb.net:27017], passives=[], arbiters=[], primary='ac-eyxdlxu-shard-00-01.wwjwkb1.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='ape1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_EAST_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=25, topologyVersion=TopologyVersion{processId=688a2655208c90e9b0e1eded, counter=3}, lastWriteDate=Sun Aug 03 16:09:51 ICT 2025, lastUpdateTimeNanos=231969840774200}
2025-08-03 16:09:51.696 [cluster-ClusterId{value='688f275e1a9d7953e69bb237', description='null'}-ac-eyxdlxu-shard-00-00.wwjwkb1.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-eyxdlxu-shard-00-00.wwjwkb1.mongodb.net:27017, type=REPLICA_SET_SECONDARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=411866800, minRoundTripTimeNanos=0, setName='atlas-9e3adx-shard-0', canonicalAddress=ac-eyxdlxu-shard-00-00.wwjwkb1.mongodb.net:27017, hosts=[ac-eyxdlxu-shard-00-00.wwjwkb1.mongodb.net:27017, ac-eyxdlxu-shard-00-02.wwjwkb1.mongodb.net:27017, ac-eyxdlxu-shard-00-01.wwjwkb1.mongodb.net:27017], passives=[], arbiters=[], primary='ac-eyxdlxu-shard-00-01.wwjwkb1.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='ape1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_EAST_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=25, topologyVersion=TopologyVersion{processId=688a25fa10cc052f6f69f45c, counter=4}, lastWriteDate=Sun Aug 03 16:09:51 ICT 2025, lastUpdateTimeNanos=231969840774200}
